categoria,video,frame,persona_id,velocidad_media,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16
noViolencia,NV_279.mp4,0,0,0.0,683.48,416.89,684.44,412.11,685.4,412.11,689.22,415.94,712.19,412.11,680.61,447.52,740.9,435.08,651.9,471.45,790.66,433.16,653.82,463.8,808.84,440.82,717.93,534.63,764.82,532.71,676.78,578.66,808.84,583.45,648.08,646.62,859.56,639.92
noViolencia,NV_279.mp4,0,1,0.0,557.16,201.15,561.94,197.31,552.37,197.31,566.73,197.31,543.76,197.31,580.13,216.5,530.35,214.58,592.58,234.73,509.29,228.02,602.15,245.29,491.1,248.16,574.39,279.83,533.22,281.74,607.9,316.28,493.97,339.31,618.43,359.46,480.57,359.46
noViolencia,NV_279.mp4,10,0,20.07819938659668,681.94,406.43,681.94,402.6,711.64,392.05,687.69,404.51,715.47,399.72,677.16,439.01,740.37,435.17,632.14,456.26,785.38,457.21,631.18,434.22,762.4,444.76,700.14,534.83,748.99,531.0,654.17,577.95,794.96,578.91,617.77,641.19,840.93,641.19
noViolencia,NV_279.mp4,10,1,19.9768009185791,549.97,193.39,556.68,189.57,549.02,187.66,568.17,192.44,548.06,186.71,576.78,206.76,539.44,197.21,569.12,242.1,515.5,205.81,542.31,247.83,515.5,200.08,576.78,274.57,539.44,272.66,610.3,315.63,498.27,318.5,617.0,329.96,491.57,329.96
noViolencia,NV_279.mp4,20,0,20.650999069213867,665.53,407.48,665.53,402.69,677.97,401.73,667.44,406.52,695.2,397.9,666.48,435.29,727.74,418.03,642.55,439.12,774.64,423.78,639.68,422.82,665.53,407.48,697.11,527.34,745.93,527.34,649.26,574.32,789.0,574.32,614.8,640.48,837.82,634.73
noViolencia,NV_279.mp4,20,1,18.32379913330078,560.17,195.46,564.01,190.67,554.42,190.67,569.76,188.76,543.88,187.8,578.39,206.94,529.49,207.9,595.65,226.08,508.4,225.13,603.32,238.52,490.18,243.31,573.6,275.84,533.33,276.8,612.91,315.08,501.69,320.82,621.54,368.67,472.93,368.67
noViolencia,NV_279.mp4,30,0,18.031099319458008,682.93,403.26,682.93,397.51,683.89,394.63,686.77,399.43,715.53,394.63,679.1,432.0,741.42,426.25,636.91,455.96,783.6,454.04,635.95,437.75,756.76,448.29,702.11,523.99,747.17,524.95,650.33,578.61,789.36,574.77,611.98,638.97,830.59,640.89
noViolencia,NV_279.mp4,30,1,36.39310073852539,586.86,198.81,591.64,193.07,581.12,194.02,600.26,190.2,575.37,192.11,608.87,211.25,567.72,201.68,620.36,240.91,534.22,200.72,612.7,248.56,517.94,194.02,597.39,261.0,562.93,258.13,622.27,305.02,539.0,305.02,622.27,305.02,536.13,305.02
noViolencia,NV_279.mp4,40,0,76.29409790039062,793.49,410.93,760.84,409.97,791.57,409.01,764.68,412.84,790.61,413.8,750.28,442.53,812.69,445.4,726.28,472.22,841.49,482.76,741.64,445.4,827.09,455.94,759.88,546.92,806.93,546.92,705.16,576.61,845.34,589.06,675.39,644.61,892.38,646.53
noViolencia,NV_279.mp4,40,1,17.187999725341797,599.01,205.16,603.78,200.39,594.24,200.39,607.59,197.52,584.71,199.43,615.22,218.51,569.45,217.56,627.61,237.6,542.76,238.55,640.96,255.72,533.22,263.36,599.01,280.53,559.92,279.58,619.99,307.24,542.76,307.24,620.94,307.24,538.94,307.24
noViolencia,NV_279.mp4,50,0,22.31290054321289,783.8,400.73,786.67,396.9,815.39,408.39,787.63,405.52,811.56,412.22,758.9,441.9,818.26,447.65,731.14,490.73,818.26,507.01,749.33,507.96,802.94,471.58,754.12,543.39,799.11,546.26,711.03,588.39,837.41,592.21,662.21,640.09,837.41,664.98
noViolencia,NV_279.mp4,50,1,53.74829864501953,540.32,188.84,545.12,184.06,535.53,184.06,549.91,184.06,524.98,185.02,562.38,208.94,509.63,207.98,573.89,233.81,489.49,227.12,574.85,254.86,472.23,249.12,548.96,278.78,513.47,278.78,570.06,305.57,509.63,305.57,571.01,305.57,509.63,305.57
noViolencia,NV_279.mp4,60,0,56.291500091552734,857.02,379.16,857.02,372.45,855.12,373.41,826.51,373.41,855.12,375.33,798.86,408.9,863.7,415.62,782.65,462.63,869.42,470.3,779.79,464.55,862.74,471.26,794.1,502.92,834.14,506.76,781.7,565.28,841.77,585.43,771.21,623.81,838.91,665.06
noViolencia,NV_279.mp4,60,1,30.786699295043945,511.99,191.02,515.82,186.22,507.19,186.22,520.62,187.18,495.68,186.22,533.09,211.17,482.26,214.05,546.51,242.84,472.67,249.55,558.98,268.74,488.01,265.86,525.41,285.05,494.73,288.89,530.21,338.79,500.48,338.79,517.74,304.24,499.52,338.79
noViolencia,NV_279.mp4,70,0,222.91659545898438,963.88,301.16,976.35,283.9,940.86,274.31,984.02,297.32,870.83,281.98,983.07,453.59,761.47,377.85,1093.39,617.53,664.58,511.11,1155.74,697.1,712.54,586.85,862.19,716.28,708.7,689.43,1159.58,716.28,682.8,716.28,1159.58,716.28,682.8,716.28
