categoria,video,frame,persona_id,velocidad_media,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16
violencia_limpios,V_204.mp4,0,0,0.0,218.48,182.27,224.4,175.25,213.63,175.79,238.4,174.71,209.86,177.95,259.94,204.94,205.55,200.08,283.64,242.73,182.93,202.78,263.17,246.51,170.55,199.54,260.48,284.29,227.09,284.29,276.64,346.91,229.25,354.47,287.41,410.07,232.48,415.47
violencia_limpios,V_204.mp4,0,1,0.0,105.98,161.9,105.44,155.96,105.44,154.88,77.35,155.42,93.02,155.96,68.17,177.56,79.51,178.64,80.05,237.5,90.86,233.18,133.54,221.84,131.92,232.1,70.87,276.38,79.51,278.0,69.79,363.86,136.78,340.64,48.72,438.39,109.77,417.33
violencia_limpios,V_204.mp4,0,2,0.0,62.21,552.82,60.65,553.88,61.17,553.88,60.12,551.22,60.65,552.82,58.56,555.48,59.6,551.22,63.25,551.22,58.56,551.75,62.21,567.19,62.73,567.19,59.08,559.74,59.08,559.74,63.77,568.79,63.25,564.0,63.77,567.73,63.77,568.26
violencia_limpios,V_204.mp4,0,3,0.0,101.28,164.09,105.06,157.09,92.11,157.09,109.38,156.01,96.42,150.62,83.47,179.73,77.53,179.19,95.88,227.16,90.49,232.55,138.54,219.08,133.14,224.47,73.21,266.51,65.65,272.44,89.95,285.92,92.65,285.92,145.55,218.0,88.33,285.92
violencia_limpios,V_204.mp4,10,0,147.57000732421875,96.77,161.77,96.23,160.15,92.46,155.84,97.85,160.15,77.37,159.61,88.68,189.83,56.35,191.44,113.48,212.48,66.05,247.01,128.57,227.05,113.48,241.08,83.29,288.55,70.36,289.63,76.83,370.02,105.39,364.62,52.57,437.45,101.08,453.1
violencia_limpios,V_204.mp4,10,1,133.2194061279297,207.25,193.56,212.64,188.17,206.17,187.63,231.51,189.79,206.17,189.25,247.15,224.31,203.48,221.07,256.31,261.53,174.91,241.03,246.61,287.96,163.05,257.75,247.15,303.06,215.34,303.06,265.48,360.78,188.38,357.54,294.05,416.88,211.57,405.01
violencia_limpios,V_204.mp4,20,0,44.60599899291992,77.54,161.91,77.54,154.35,69.44,153.81,72.68,155.97,47.84,155.97,67.28,191.05,35.95,194.83,155.32,225.06,86.73,229.92,89.43,191.59,81.86,187.28,54.32,298.47,39.19,299.01,72.14,368.11,74.84,368.65,207.71,299.55,203.93,424.78
violencia_limpios,V_204.mp4,20,1,160.15699768066406,78.24,164.33,79.31,155.7,68.52,155.7,77.7,156.23,43.15,164.33,45.85,191.31,35.05,195.08,120.34,213.43,84.17,224.76,66.36,182.67,109.54,223.68,51.24,297.06,36.67,298.14,59.88,378.54,77.7,372.6,43.69,463.79,66.36,469.73
violencia_limpios,V_204.mp4,30,0,84.70950317382812,120.98,195.29,126.36,189.89,120.98,189.89,141.97,193.13,138.74,192.59,149.51,223.37,134.44,227.15,159.74,270.89,134.98,265.49,127.98,282.77,120.98,270.35,171.58,308.68,169.96,308.68,157.58,379.96,179.11,373.48,189.34,445.84,211.94,430.18
violencia_limpios,V_204.mp4,30,1,46.685298919677734,4.88,192.01,13.52,186.62,4.88,185.54,22.16,190.39,4.88,188.77,15.68,217.9,12.98,214.67,52.41,249.73,51.87,245.95,103.73,262.67,105.89,263.75,27.03,316.62,18.38,317.7,74.56,388.9,76.72,388.9,71.86,447.16,72.4,447.7
violencia_limpios,V_204.mp4,30,2,0.0,8.04,193.29,13.42,187.35,3.19,185.73,21.5,190.59,3.19,188.97,15.04,217.55,11.81,215.4,53.81,244.52,55.42,245.06,106.04,265.55,108.19,265.55,3.19,301.15,14.5,301.15,25.81,253.15,27.96,260.7,101.19,277.42,110.34,267.71
violencia_limpios,V_204.mp4,30,3,0.0,96.0,557.86,95.46,556.8,94.93,556.8,93.31,557.33,96.54,557.33,92.23,562.07,94.93,562.07,93.31,567.34,92.77,566.82,95.46,572.09,95.46,571.03,96.54,572.09,94.39,561.02,99.78,561.02,98.16,566.82,94.93,572.62,94.93,571.56
violencia_limpios,V_204.mp4,40,0,82.86319732666016,42.36,176.18,47.22,171.87,40.2,171.87,65.05,176.18,40.2,174.57,78.55,204.78,67.21,210.18,58.03,231.22,40.2,234.46,25.62,233.92,99.61,192.91,109.87,285.18,85.03,292.19,135.8,358.56,93.13,359.64,184.4,421.15,67.75,428.17
violencia_limpios,V_204.mp4,40,1,112.52420043945312,39.63,174.98,46.64,170.72,39.63,170.72,59.57,174.98,38.55,174.98,63.89,185.1,38.01,185.1,75.21,177.64,71.97,168.59,66.58,180.31,34.77,185.1,75.21,185.1,50.95,163.79,48.25,177.64,54.72,172.32,44.48,185.1,63.35,165.39
violencia_limpios,V_204.mp4,40,2,313.63250732421875,95.53,540.85,96.06,541.38,96.06,538.72,92.87,538.72,93.4,539.25,91.28,543.5,91.28,543.5,91.81,547.75,94.47,546.16,94.47,552.0,97.65,549.88,96.06,552.53,102.96,535.53,99.78,547.22,93.94,547.22,96.06,553.59,97.65,550.41
violencia_limpios,V_204.mp4,50,0,52.75600051879883,87.71,190.26,87.18,183.24,85.02,182.16,45.63,178.38,70.45,183.24,18.66,207.01,53.19,219.97,104.98,261.02,104.98,261.02,68.83,268.04,80.16,266.96,19.74,322.05,46.17,332.85,92.57,380.38,94.73,379.3,83.94,466.79,35.92,459.23
violencia_limpios,V_204.mp4,50,1,39.22050094604492,89.45,186.31,89.45,179.86,84.59,180.4,45.72,175.55,68.39,185.78,86.75,201.92,70.01,215.37,44.64,182.01,88.37,170.17,87.29,211.6,89.45,209.99,61.92,202.99,71.09,212.14,70.01,208.37,92.15,215.37,68.39,215.37,86.21,215.37
