categoria,video,frame,persona_id,velocidad_media,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16
noViolencia,NV_169.mp4,0,0,0.0,93.25,64.99,99.12,58.27,87.39,58.27,106.1,67.78,81.52,66.1,122.86,117.29,66.44,121.21,125.65,175.47,60.85,181.9,127.61,207.92,56.66,207.92,117.0,207.92,75.93,207.92,115.6,192.25,56.66,207.92,119.79,207.92,77.05,207.92
noViolencia,NV_169.mp4,10,0,121.80370330810547,112.96,129.97,170.05,93.92,110.45,131.37,108.49,118.23,112.12,116.28,220.7,15.1,128.07,15.1,220.7,49.2,95.06,15.1,213.14,76.31,103.45,62.61,208.38,104.82,130.31,62.33,208.38,125.78,100.93,96.71,213.98,78.27,104.01,62.33
noViolencia,NV_169.mp4,20,0,122.0188980102539,94.22,65.9,100.09,59.18,88.63,58.9,107.08,68.98,81.92,65.34,123.02,118.81,66.54,123.29,126.93,187.69,59.0,191.33,128.33,207.01,54.8,200.01,113.23,207.01,73.81,207.01,110.44,191.61,76.89,207.01,125.53,207.01,74.65,207.01
noViolencia,NV_169.mp4,30,0,135.40370178222656,162.88,96.37,218.78,98.05,168.75,93.29,212.91,64.76,212.35,64.48,190.83,102.52,195.58,106.44,216.26,60.56,215.43,69.51,213.47,75.95,215.7,76.51,218.78,139.45,215.43,78.74,168.47,132.45,168.75,132.45,215.43,77.63,214.59,77.63
noViolencia,NV_169.mp4,30,1,0.0,163.73,93.47,171.57,93.19,219.96,95.42,219.96,66.34,141.08,123.11,219.96,14.05,219.96,14.05,219.96,54.32,104.43,21.32,208.49,81.72,219.96,71.65,212.4,108.56,211.01,130.38,168.49,133.45,165.97,132.61,219.96,73.05,140.24,121.15
noViolencia,NV_169.mp4,40,0,64.14579772949219,219.66,90.33,219.66,96.49,219.66,96.49,219.66,79.7,90.44,95.93,215.19,15.91,115.62,15.91,219.66,50.88,105.83,21.22,210.71,79.14,104.99,67.39,206.8,106.28,129.04,112.71,208.75,132.02,106.67,76.9,219.66,74.38,105.83,139.57
noViolencia,NV_169.mp4,50,0,128.9499053955078,101.89,66.74,107.48,59.75,95.73,60.03,114.19,67.02,89.02,69.26,130.41,127.15,71.12,123.79,136.84,197.9,59.1,187.55,52.66,206.01,52.66,206.01,118.39,206.01,75.32,206.01,118.67,206.01,77.27,206.01,115.31,206.01,52.66,206.01
noViolencia,NV_169.mp4,60,0,17.228200912475586,86.39,62.72,91.99,56.0,80.52,56.28,98.99,64.4,73.8,64.96,115.78,118.99,55.05,118.99,121.65,197.1,50.85,188.42,123.33,208.57,50.85,208.57,101.5,208.57,63.17,208.57,106.26,208.57,50.85,208.57,122.77,208.57,58.69,208.57
noViolencia,NV_169.mp4,70,0,151.2823028564453,162.88,95.37,180.47,106.0,167.91,97.32,213.42,64.03,213.14,62.91,208.95,124.47,195.55,106.0,219.01,55.07,216.49,71.3,214.82,75.5,216.49,75.22,207.84,121.67,215.66,81.38,219.01,72.14,164.28,79.14,215.66,75.22,215.1,75.22
noViolencia,NV_169.mp4,80,0,26.10059928894043,163.73,95.19,179.39,46.77,178.55,46.49,219.92,87.63,212.09,63.0,222.99,29.42,195.32,110.86,222.99,38.94,218.24,69.72,214.89,77.28,218.24,76.72,222.99,75.32,217.68,72.24,222.99,29.42,222.99,29.42,217.12,76.72,214.89,77.28
